# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1370.0000 M27 707738 1 585.0000 p143 p137 290 N p143->p137
2673.0000 M55 942166 1 1035.0000 p209 p235 282 N p209->p235
4337.0000 M82 985912 1 1895.0000 p87 p128 268 N p87->p128
4587.0000 M83 619743 1 2118.0000 p111 p2 264 N p111->p2
5218.0000 M138 650867 1 1120.0000 p107 p89 281 N p107->p89
5393.0000 M163 957322 1 551.0000 p115 p182 290 N p115->p182
6324.0000 M176 579901 1 1090.0000 p1 p243 281 N p1->p243
6690.0000 M98 727857 1 3760.0000 p129 p202 237 N p129->p202
6846.0000 M170 667481 1 1800.0000 p32 p89 270 N p32->p89
6975.0000 M210 524864 1 741.0000 p59 p221 287 N p59->p221
7399.0000 M237 705144 1 365.0000 p154 p183 293 N p154->p183
7623.0000 M73 817551 1 5449.0000 p60 p155 209 N p60->p155
7799.0000 M206 584973 1 1677.0000 p45 p234 272 N p45->p234
8169.0000 M24 559729 1 7471.0000 p94 p54 175 N p94->p54
8942.0000 M125 717958 1 5216.0000 p93 p153 213 N p93->p153
9013.0000 M196 776404 1 3185.0000 p20 p115 246 N p20->p115
9528.0000 M93 592981 1 6747.0000 p74 p8 187 N p74->p8
9531.0000 M151 818481 1 5057.0000 p86 p146 215 N p86->p146
9720.0000 M249 944555 1 2319.0000 p74 p182 261 N p74->p182
10167.0000 M28 627290 1 9349.0000 p11 p210 144 N p11->p210
10218.0000 M13 693107 1 9839.0000 p26 p201 136 N p26->p201
10357.0000 M243 857445 1 3142.0000 p172 p78 247 N p172->p78
10488.0000 M247 562721 1 3143.0000 p13 p7 247 N p13->p7
10537.0000 M81 660867 1 8125.0000 p30 p126 164 N p30->p126
10595.0000 M240 508487 1 3463.0000 p115 p230 242 N p115->p230
