# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
691.0000 M7 612010 1 488.0000 p225 p162 291 N p225->p162
926.0000 M18 640222 1 403.0000 p95 p6 293 N p95->p6
1060.0000 M31 948641 1 147.0000 p14 p124 297 N p14->p124
2749.0000 M81 660867 1 337.0000 p30 p126 294 N p30->p126
2882.0000 M89 616020 1 230.0000 p100 p104 296 N p100->p104
2946.0000 M60 686270 1 1153.0000 p92 p13 280 N p92->p13
2955.0000 M40 572441 1 1771.0000 p104 p220 270 N p104->p220
2959.0000 M76 892737 1 697.0000 p220 p104 288 N p220->p104
3032.0000 M80 626408 1 653.0000 p30 p245 289 N p30->p245
3037.0000 M9 587686 1 2772.0000 p126 p104 253 N p126->p104
3381.0000 M54 560634 1 1775.0000 p69 p213 270 N p69->p213
3495.0000 M56 618175 1 1830.0000 p145 p225 269 N p145->p225
3626.0000 M72 625366 1 1482.0000 p19 p69 275 N p19->p69
3637.0000 M109 922600 1 384.0000 p11 p189 293 N p11->p189
3721.0000 M14 720934 1 3316.0000 p201 p127 244 N p201->p127
4111.0000 M19 580040 1 3554.0000 p95 p187 240 N p95->p187
4157.0000 M48 605393 1 2722.0000 p29 p112 254 N p29->p112
4225.0000 M94 655764 1 1413.0000 p48 p86 276 N p48->p86
4806.0000 M156 714999 1 180.0000 p208 p237 297 N p208->p237
4842.0000 M154 892167 1 276.0000 p4 p142 295 N p4->p142
4935.0000 M163 957322 1 93.0000 p115 p182 298 N p115->p182
4995.0000 M162 670362 1 183.0000 p244 p168 296 N p244->p168
5074.0000 M88 607095 1 2455.0000 p121 p115 259 N p121->p115
5077.0000 M67 922010 1 3087.0000 p140 p215 248 N p140->p215
5105.0000 M13 693107 1 4726.0000 p26 p201 221 N p26->p201
5215.0000 M171 900332 1 138.0000 p30 p87 297 N p30->p87
5304.0000 M51 837117 1 3791.0000 p226 p16 236 N p226->p16
5333.0000 M101 827479 1 2319.0000 p204 p19 261 N p204->p19
5433.0000 M20 773543 1 4851.0000 p14 p171 219 N p14->p171
5891.0000 M173 664855 1 751.0000 p22 p15 287 N p22->p15
5925.0000 M47 940661 1 4522.0000 p245 p63 224 N p245->p63
5962.0000 M99 954668 1 3005.0000 p194 p106 249 N p194->p106
6040.0000 M190 535919 1 395.0000 p206 p150 293 N p206->p150
6331.0000 M136 846612 1 2291.0000 p120 p37 261 N p120->p37
6347.0000 M57 905197 1 4649.0000 p84 p10 222 N p84->p10
6480.0000 M186 648681 1 955.0000 p157 p53 284 N p157->p53
6555.0000 M91 920835 1 3839.0000 p196 p146 236 N p196->p146
6599.0000 M135 610314 1 2585.0000 p138 p124 256 N p138->p124
6806.0000 M17 790517 1 6308.0000 p170 p91 194 N p170->p91
6995.0000 M215 782491 1 609.0000 p63 p242 289 N p63->p242
7070.0000 M228 852533 1 301.0000 p195 p18 294 N p195->p18
7110.0000 M137 650680 1 3045.0000 p222 p64 249 N p222->p64
7130.0000 M23 555510 1 6461.0000 p207 p111 192 N p207->p111
7203.0000 M149 795095 1 2785.0000 p234 p210 253 N p234->p210
7258.0000 M175 750628 1 2054.0000 p220 p187 265 N p220->p187
7461.0000 M245 569042 1 178.0000 p21 p179 297 N p21->p179
7472.0000 M85 821486 1 4947.0000 p73 p236 217 N p73->p236
7625.0000 M74 766315 1 5419.0000 p38 p80 209 N p38->p80
7684.0000 M145 969956 1 3379.0000 p192 p135 243 N p192->p135
7812.0000 M132 655095 1 3889.0000 p22 p164 235 N p22->p164
7986.0000 M202 769146 1 1981.0000 p9 p97 266 N p9->p97
8061.0000 M230 918174 1 1234.0000 p184 p220 279 N p184->p220
8178.0000 M125 717958 1 4452.0000 p93 p153 225 N p93->p153
8275.0000 M119 668212 1 4729.0000 p117 p131 221 N p117->p131
8285.0000 M207 923599 1 2134.0000 p155 p130 264 N p155->p130
8397.0000 M168 716045 1 3410.0000 p88 p101 243 N p88->p101
8502.0000 M100 971584 1 5520.0000 p9 p135 208 N p9->p135
8553.0000 M115 753632 1 5126.0000 p239 p182 214 N p239->p182
8619.0000 M196 776404 1 2791.0000 p20 p115 253 N p20->p115
8677.0000 M277 770451 1 466.0000 p178 p130 292 N p178->p130
8960.0000 M302 996566 1 21.0000 p130 p184 299 N p130->p184
9207.0000 M75 838158 1 6976.0000 p6 p146 183 N p6->p146
9231.0000 M116 972891 1 5774.0000 p230 p165 203 N p230->p165
