# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1342.0000 M33 729461 2 366.0000 p25 p18 293 N p25->p85->p18
1460.0000 M20 773543 1 878.0000 p89 p36 285 N p89->p36
1755.0000 M42 889225 1 506.0000 p45 p51 291 N p45->p51
2302.0000 M8 913877 1 2069.0000 p6 p9 265 N p6->p9
2796.0000 M29 639593 3 1944.0000 p85 p34 267 N p85->p18->p32->p34
2869.0000 M78 861599 1 535.0000 p18 p34 291 N p18->p34
2912.0000 M74 766315 1 696.0000 p68 p41 288 N p68->p41
2929.0000 M47 734776 5 1518.0000 p2 p26 274 N p2->p8->p16->p19->p53->p26
3146.0000 M37 737538 3 2054.0000 p85 p30 265 N p85->p88->p36->p30
3313.0000 M87 990325 2 718.0000 p13 p49 288 N p13->p78->p49
3555.0000 M12 545086 3 3210.0000 p57 p19 246 N p57->p63->p51->p19
3562.0000 M81 660867 4 1140.0000 p93 p12 281 N p93->p31->p54->p61->p12
4121.0000 M138 794114 1 6.0000 p53 p86 299 N p53->p86
4360.0000 M38 698725 4 3239.0000 p39 p40 246 N p39->p6->p95->p44->p40
4435.0000 M32 531670 3 3490.0000 p54 p37 241 N p54->p61->p12->p37
4518.0000 M17 790517 3 4020.0000 p53 p22 233 N p53->p21->p91->p22
4600.0000 M75 838158 6 2359.0000 p9 p14 260 N p9->p90->p12->p61->p5->p80->p14
5016.0000 M142 878324 1 782.0000 p83 p60 286 N p83->p60
5395.0000 M114 593371 1 1982.0000 p1 p82 266 N p1->p82
6252.0000 M104 930082 5 3136.0000 p98 p79 247 N p98->p23->p62->p45->p9->p79
6495.0000 M196 776404 1 655.0000 p50 p52 289 N p50->p52
6562.0000 M9 587686 8 6297.0000 p36 p62 195 N p36->p66->p60->p84->p60->p6->p84->p11->p62
6565.0000 M89 616020 2 3903.0000 p22 p11 234 N p22->p62->p11
6655.0000 M203 799751 1 605.0000 p27 p61 289 N p27->p61
6900.0000 M92 799189 1 4142.0000 p77 p38 230 N p77->p38
6916.0000 M45 506581 5 5571.0000 p69 p11 207 N p69->p63->p48->p69->p9->p11
6983.0000 M57 601479 4 5276.0000 p72 p81 212 N p72->p63->p84->p38->p81
6990.0000 M11 562047 6 6670.0000 p26 p79 188 N p26->p10->p67->p94->p64->p22->p79
7144.0000 M133 793385 2 3167.0000 p77 p88 247 N p77->p66->p88
7294.0000 M239 580423 1 190.0000 p42 p16 296 N p42->p16
7454.0000 M91 920835 4 4728.0000 p22 p14 221 N p22->p98->p1->p82->p14
7522.0000 M72 625366 5 5368.0000 p43 p60 210 N p43->p73->p95->p24->p20->p60
7619.0000 M126 736330 6 3848.0000 p43 p65 235 N p43->p95->p73->p24->p20->p95->p65
7641.0000 M237 705144 2 601.0000 p34 p69 289 N p34->p66->p69
7916.0000 M263 894847 1 101.0000 p57 p66 298 N p57->p66
8283.0000 M228 864200 2 1505.0000 p36 p41 274 N p36->p68->p41
8438.0000 M202 769146 2 2421.0000 p60 p16 259 N p60->p39->p16
8636.0000 M125 524397 2 4898.0000 p81 p56 218 N p81->p26->p56
8855.0000 M272 545134 1 782.0000 p74 p48 286 N p74->p48
8910.0000 M208 603370 1 2721.0000 p31 p5 254 N p31->p5
9011.0000 M21 519301 4 8402.0000 p45 p27 159 N p45->p74->p94->p64->p27
9058.0000 M122 809157 4 5412.0000 p81 p60 209 N p81->p86->p28->p74->p60
9459.0000 M41 838158 6 8243.0000 p21 p4 162 N p21->p46->p48->p72->p2->p60->p4
9804.0000 M317 550735 1 410.0000 p5 p71 293 N p5->p71
10399.0000 M150 781785 5 5931.0000 p6 p79 201 N p6->p84->p11->p16->p9->p79
10456.0000 M157 514049 5 5776.0000 p25 p94 203 N p25->p73->p92->p48->p20->p94
10508.0000 M23 555510 6 9839.0000 p45 p78 136 N p45->p29->p98->p23->p1->p54->p78
10561.0000 M267 864355 4 2632.0000 p62 p73 256 N p62->p9->p67->p8->p73
11184.0000 M10 863541 6 10893.0000 p61 p35 118 N p61->p55->p93->p31->p5->p42->p35
11398.0000 M135 549781 8 7369.0000 p40 p88 177 N p40->p36->p15->p84->p8->p2->p15->p62->p88
11587.0000 M285 613983 3 3146.0000 p64 p92 247 N p64->p82->p42->p92
11657.0000 M325 995712 2 2027.0000 p39 p3 266 N p39->p84->p3
11923.0000 M262 924477 2 4135.0000 p65 p0 231 N p65->p36->p0
12020.0000 M371 556832 1 1007.0000 p73 p67 283 N p73->p67
12192.0000 M304 941440 2 3180.0000 p35 p19 247 N p35->p5->p19
12299.0000 M321 631807 1 2792.0000 p47 p41 253 N p47->p41
12440.0000 M39 983915 13 11286.0000 p78 p23 111 N p78->p66->p88->p36->p65->p25->p73->p92->p95->p88->p20->p94->p20->p23
12516.0000 M44 568074 11 11203.0000 p75 p56 113 N p75->p36->p15->p69->p57->p48->p28->p86->p74->p86->p41->p56
12904.0000 M261 754136 3 5148.0000 p98 p11 214 N p98->p46->p1->p11
13669.0000 M446 617340 1 457.0000 p8 p38 292 N p8->p38
13841.0000 M27 707738 9 13056.0000 p53 p50 82 N p53->p46->p57->p4->p42->p16->p9->p94->p82->p50
14228.0000 M230 670367 4 7394.0000 p70 p66 176 N p70->p87->p78->p39->p66
14906.0000 M422 753746 1 2404.0000 p74 p41 259 N p74->p41
15258.0000 M456 956880 1 1751.0000 p65 p21 270 N p65->p21
15799.0000 M480 708887 3 1618.0000 p34 p59 273 N p34->p8->p44->p59
16268.0000 M80 626408 12 13879.0000 p3 p71 68 N p3->p60->p84->p6->p84->p11->p22->p91->p64->p52->p12->p91->p71
16310.0000 M497 740796 2 1607.0000 p79 p86 273 N p79->p28->p86
16524.0000 M469 703844 3 2652.0000 p14 p92 255 N p14->p27->p61->p92
16856.0000 M354 525850 7 6345.0000 p47 p76 194 N p47->p32->p99->p86->p41->p86->p74->p76
17218.0000 M507 603443 2 2229.0000 p30 p36 262 N p30->p51->p36
17292.0000 M552 697484 4 984.0000 p80 p4 283 N p80->p86->p74->p41->p4
17880.0000 M395 815148 4 6145.0000 p89 p48 197 N p89->p61->p80->p86->p48
17934.0000 M542 755717 2 1937.0000 p67 p32 267 N p67->p28->p32
17968.0000 M526 774115 2 2428.0000 p21 p67 259 N p21->p32->p67
18007.0000 M391 957666 6 6386.0000 p62 p43 193 N p62->p15->p63->p68->p85->p68->p43
18207.0000 M599 913651 1 504.0000 p7 p18 291 N p7->p18
18333.0000 M570 596664 2 1490.0000 p27 p92 275 N p27->p14->p92
18351.0000 M611 510882 1 282.0000 p41 p63 295 N p41->p63
18372.0000 M338 532282 9 8340.0000 p8 p98 161 N p8->p6->p8->p53->p81->p59->p44->p57->p15->p98
18683.0000 M592 687009 2 1198.0000 p69 p88 280 N p69->p33->p88
18742.0000 M226 505750 12 12025.0000 p62 p30 99 N p62->p34->p57->p81->p57->p44->p38->p8->p38->p69->p7->p18->p30
18856.0000 M621 586875 2 492.0000 p22 p9 291 N p22->p44->p9
18906.0000 M562 592138 4 2304.0000 p30 p2 261 N p30->p51->p36->p0->p2
19091.0000 M617 635425 2 850.0000 p39 p67 285 N p39->p29->p67
19093.0000 M644 755955 1 22.0000 p96 p0 299 N p96->p0
19094.0000 M147 664885 5 14703.0000 p70 p28 54 N p70->p87->p78->p39->p29->p28
19111.0000 M623 547758 4 685.0000 p32 p76 288 N p32->p28->p41->p32->p76
19187.0000 M453 697421 3 5763.0000 p97 p66 203 N p97->p47->p85->p66
19316.0000 M461 806829 5 5672.0000 p6 p55 205 N p6->p89->p11->p59->p70->p55
19456.0000 M642 818700 1 452.0000 p46 p71 292 N p46->p71
19492.0000 M636 888003 4 664.0000 p41 p54 288 N p41->p28->p32->p99->p54
19578.0000 M649 647769 1 374.0000 p38 p18 293 N p38->p18
19902.0000 M555 713497 4 3509.0000 p89 p72 241 N p89->p93->p37->p11->p72
20083.0000 M665 713216 1 405.0000 p5 p52 293 N p5->p52
20249.0000 M336 760188 6 10284.0000 p90 p91 128 N p90->p37->p35->p31->p42->p90->p91
20305.0000 M651 743072 2 1039.0000 p28 p16 282 N p28->p41->p16
20491.0000 M683 653712 1 269.0000 p11 p17 295 N p11->p17
21038.0000 M378 695064 4 9809.0000 p94 p59 136 N p94->p82->p17->p72->p59
21049.0000 M632 646697 4 2345.0000 p42 p27 260 N p42->p90->p91->p90->p27
21135.0000 M641 743286 2 2158.0000 p90 p35 264 N p90->p91->p35
21180.0000 M695 803835 1 595.0000 p79 p14 290 N p79->p14
21319.0000 M707 943796 1 391.0000 p65 p84 293 N p65->p84
21319.0000 M703 535948 2 507.0000 p27 p98 291 N p27->p31->p98
21443.0000 M124 749177 13 17734.0000 p60 p32 4 N p60->p84->p6->p84->p38->p88->p34->p73->p54->p34->p8->p44->p62->p32
21568.0000 M706 920215 1 666.0000 p20 p87 288 N p20->p87
21572.0000 M574 542405 6 4613.0000 p12 p59 223 N p12->p52->p37->p11->p17->p91->p59
21722.0000 M673 726510 1 1797.0000 p89 p50 270 N p89->p50
21727.0000 M408 572907 6 9620.0000 p53 p77 139 N p53->p81->p57->p84->p88->p29->p77
22318.0000 M666 891776 4 2610.0000 p61 p21 256 N p61->p98->p45->p27->p21
22321.0000 M221 500565 12 15751.0000 p75 p27 37 N p75->p44->p15->p7->p33->p25->p73->p72->p45->p70->p46->p21->p27
22380.0000 M717 857390 2 1149.0000 p21 p27 280 N p21->p92->p27
22483.0000 M510 997154 5 7406.0000 p14 p45 176 N p14->p61->p27->p50->p79->p45
22974.0000 M731 662589 2 1325.0000 p79 p70 277 N p79->p45->p70
23207.0000 M249 944555 17 15800.0000 p95 p8 36 N p95->p65->p36->p85->p43->p49->p43->p51->p24->p83->p43->p24->p38->p18->p30->p33->p62->p8
23263.0000 M639 935143 3 4352.0000 p50 p86 227 N p50->p59->p45->p86
23573.0000 M704 754957 5 2728.0000 p84 p39 254 N p84->p88->p29->p85->p13->p39
23804.0000 M791 594770 1 358.0000 p71 p58 294 N p71->p58
23830.0000 M728 826133 2 2270.0000 p79 p40 262 N p79->p45->p40
24125.0000 M709 879250 6 3139.0000 p51 p38 247 N p51->p75->p69->p56->p96->p3->p38
24189.0000 M761 797508 2 1644.0000 p34 p47 272 N p34->p66->p47
24427.0000 M600 776364 3 6696.0000 p57 p2 188 N p57->p84->p81->p2
24620.0000 M459 851360 10 11031.0000 p74 p73 116 N p74->p41->p97->p80->p97->p74->p48->p74->p16->p28->p73
24890.0000 M724 821376 4 3447.0000 p75 p96 242 N p75->p23->p56->p69->p96
25302.0000 M805 526558 1 1452.0000 p74 p31 275 N p74->p31
25609.0000 M563 608127 10 8973.0000 p14 p12 150 N p14->p50->p14->p50->p59->p45->p58->p31->p71->p89->p12
25672.0000 M811 667754 1 1647.0000 p25 p64 272 N p25->p64
25691.0000 M546 611808 7 9569.0000 p28 p33 140 N p28->p80->p97->p80->p86->p27->p86->p33
26301.0000 M795 870808 3 2747.0000 p53 p98 254 N p53->p16->p79->p98
26583.0000 M606 532037 4 8659.0000 p58 p40 155 N p58->p31->p71->p89->p40
26877.0000 M751 731784 2 4636.0000 p13 p30 222 N p13->p84->p30
26965.0000 M851 800839 3 1746.0000 p46 p92 270 N p46->p90->p12->p92
27104.0000 M356 602461 13 16540.0000 p13 p8 24 N p13->p0->p43->p49->p43->p0->p36->p24->p51->p24->p38->p63->p10->p8
27364.0000 M694 654166 6 6811.0000 p83 p36 186 N p83->p44->p75->p7->p43->p29->p36
27953.0000 M799 590804 3 4287.0000 p7 p72 228 N p7->p95->p31->p72
28107.0000 M614 780307 14 9951.0000 p49 p98 134 N p49->p88->p49->p9->p57->p56->p7->p33->p62->p0->p33->p15->p72->p89->p98
28202.0000 M852 677710 2 2951.0000 p83 p62 250 N p83->p81->p62
28397.0000 M828 544516 1 3865.0000 p73 p54 235 N p73->p54
28753.0000 M875 982534 3 2825.0000 p74 p17 252 N p74->p87->p52->p17
28768.0000 M692 703060 3 8283.0000 p53 p50 161 N p53->p28->p73->p50
29254.0000 M602 795633 6 11463.0000 p51 p47 108 N p51->p24->p36->p43->p63->p10->p47
29258.0000 M934 959164 2 1590.0000 p84 p10 273 N p84->p47->p10
29267.0000 M675 674183 2 9279.0000 p53 p68 145 N p53->p28->p68
29457.0000 M726 522122 8 7958.0000 p81 p30 167 N p81->p34->p77->p99->p57->p99->p68->p22->p30
29879.0000 M954 824674 1 1632.0000 p13 p73 272 N p13->p73
30100.0000 M958 547394 2 1741.0000 p84 p95 270 N p84->p10->p95
30287.0000 M836 939185 6 5504.0000 p10 p75 208 N p10->p96->p29->p69->p23->p7->p75
30920.0000 M970 961312 2 2185.0000 p63 p24 263 N p63->p47->p24
31193.0000 M989 992810 1 1885.0000 p66 p26 268 N p66->p26
31918.0000 M917 574403 6 4749.0000 p77 p95 220 N p77->p99->p68->p22->p28->p60->p95
32185.0000 M896 921195 7 5644.0000 p96 p47 205 N p96->p36->p96->p43->p29->p36->p69->p47
32300.0000 M1051 898359 1 1127.0000 p53 p16 281 N p53->p16
32376.0000 M774 749587 3 9442.0000 p5 p59 142 N p5->p93->p5->p59
32624.0000 M849 600367 7 7464.0000 p9 p89 175 N p9->p86->p39->p70->p31->p37->p72->p89
34015.0000 M1118 661498 1 861.0000 p86 p79 285 N p86->p79
34198.0000 M1020 951185 2 3967.0000 p96 p22 233 N p96->p83->p22
34237.0000 M1144 671277 3 327.0000 p0 p62 294 N p0->p60->p8->p62
34303.0000 M1078 614735 2 2334.0000 p19 p73 261 N p19->p86->p73
34401.0000 M973 510291 1 5572.0000 p58 p22 207 N p58->p22
34498.0000 M985 966315 4 5310.0000 p59 p94 211 N p59->p20->p85->p71->p94
34776.0000 M894 978710 4 8295.0000 p81 p97 161 N p81->p49->p25->p7->p97
35725.0000 M1145 853044 3 1790.0000 p1 p54 270 N p1->p86->p79->p54
35840.0000 M1162 606217 1 1400.0000 p16 p34 276 N p16->p34
35921.0000 M1181 945603 1 929.0000 p65 p82 284 N p65->p82
36033.0000 M856 637735 2 10665.0000 p8 p40 122 N p8->p63->p40
36053.0000 M1117 600990 1 2931.0000 p44 p54 251 N p44->p54
36125.0000 M1149 510802 3 2075.0000 p74 p30 265 N p74->p89->p27->p30
36221.0000 M858 536001 8 10792.0000 p10 p54 120 N p10->p63->p10->p84->p9->p22->p45->p16->p54
36225.0000 M1195 957369 1 805.0000 p54 p16 286 N p54->p16
36462.0000 M1126 569336 5 3077.0000 p97 p57 248 N p97->p34->p28->p1->p78->p57
36655.0000 M729 777845 6 15068.0000 p5 p64 48 N p5->p93->p5->p59->p6->p15->p64
37197.0000 M1206 648969 1 1452.0000 p61 p17 275 N p61->p17
37423.0000 M1236 863442 1 804.0000 p45 p78 286 N p45->p78
37461.0000 M1116 991601 3 4369.0000 p20 p94 227 N p20->p87->p59->p94
37621.0000 M953 727433 3 9400.0000 p95 p94 143 N p95->p83->p96->p94
37741.0000 M1225 679664 4 1447.0000 p86 p64 275 N p86->p42->p70->p42->p64
38381.0000 M1001 649928 7 8724.0000 p71 p51 154 N p71->p42->p71->p35->p98->p11->p67->p51
39064.0000 M1227 515279 2 2713.0000 p27 p86 254 N p27->p71->p86
40018.0000 M1329 797651 2 651.0000 p28 p15 289 N p28->p59->p15
40043.0000 M1333 553198 1 570.0000 p54 p26 290 N p54->p26
40396.0000 M1282 674464 3 2418.0000 p90 p51 259 N p90->p42->p63->p51
40820.0000 M1170 848047 1 6145.0000 p22 p2 197 N p22->p2
40989.0000 M922 554139 7 13675.0000 p31 p91 72 N p31->p70->p97->p34->p19->p48->p86->p91
41143.0000 M1331 727058 2 1723.0000 p35 p33 271 N p35->p64->p33
41349.0000 M1332 852274 2 1904.0000 p67 p51 268 N p67->p39->p51
41510.0000 M1101 799911 4 8856.0000 p10 p43 152 N p10->p36->p41->p47->p43
41809.0000 M1273 912604 2 4102.0000 p12 p5 231 N p12->p55->p5
41813.0000 M1220 838797 6 5665.0000 p61 p55 205 N p61->p17->p87->p17->p52->p5->p55
42233.0000 M1310 994032 5 3414.0000 p68 p29 243 N p68->p8->p60->p8->p49->p29
42313.0000 M1210 504093 5 6450.0000 p48 p55 192 N p48->p86->p91->p46->p89->p55
42538.0000 M1433 946086 1 132.0000 p32 p79 297 N p32->p79
42880.0000 M1190 528250 7 7610.0000 p85 p82 173 N p85->p94->p20->p36->p1->p77->p15->p82
42887.0000 M1317 518126 5 3873.0000 p78 p57 235 N p78->p99->p62->p96->p18->p57
43102.0000 M1446 606012 1 302.0000 p63 p72 294 N p63->p72
