# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
302.0000 M9 587686 2 37.0000 p36 p62 299 N p36->p5->p62
918.0000 M14 720934 3 513.0000 p9 p37 291 N p9->p60->p42->p37
944.0000 M11 562047 2 624.0000 p26 p79 289 N p26->p97->p79
1395.0000 M16 875016 3 931.0000 p73 p0 284 N p73->p34->p4->p0
1396.0000 M12 545086 4 1051.0000 p57 p19 282 N p57->p80->p38->p86->p19
1523.0000 M15 991397 1 1092.0000 p43 p98 281 N p43->p98
1755.0000 M31 948641 4 842.0000 p38 p49 285 N p38->p86->p87->p77->p49
1950.0000 M7 612010 3 1747.0000 p24 p42 270 N p24->p97->p29->p42
1958.0000 M62 745934 2 101.0000 p18 p91 298 N p18->p65->p91
1967.0000 M17 790517 3 1469.0000 p53 p22 275 N p53->p47->p30->p22
2348.0000 M50 976458 1 850.0000 p70 p30 285 N p70->p30
2397.0000 M40 572441 2 1213.0000 p47 p64 279 N p47->p2->p64
2599.0000 M41 838158 4 1383.0000 p21 p4 276 N p21->p96->p67->p17->p4
2645.0000 M37 737538 4 1553.0000 p85 p30 274 N p85->p70->p44->p59->p30
2788.0000 M85 821486 3 253.0000 p70 p59 295 N p70->p47->p48->p59
3128.0000 M29 639593 3 2276.0000 p85 p34 262 N p85->p70->p44->p34
3143.0000 M81 660867 4 721.0000 p93 p12 287 N p93->p65->p2->p93->p12
3209.0000 M8 913877 11 2976.0000 p6 p9 250 N p6->p36->p75->p86->p44->p53->p72->p46->p70->p27->p16->p9
3966.0000 M105 744700 2 824.0000 p50 p36 286 N p50->p11->p36
4361.0000 M19 580040 4 3804.0000 p53 p79 236 N p53->p57->p88->p32->p79
4412.0000 M23 555510 7 3743.0000 p45 p78 237 N p45->p98->p43->p0->p57->p81->p43->p78
4494.0000 M66 762094 3 2519.0000 p35 p76 258 N p35->p69->p54->p76
4722.0000 M119 796528 7 1161.0000 p89 p95 280 N p89->p5->p30->p6->p3->p10->p63->p95
4977.0000 M25 982211 13 4247.0000 p52 p8 229 N p52->p81->p50->p91->p54->p86->p77->p66->p58->p86->p7->p22->p20->p8
4980.0000 M71 769870 4 2854.0000 p98 p0 252 N p98->p32->p80->p29->p0
4984.0000 M103 602605 2 1901.0000 p9 p5 268 N p9->p58->p5
5110.0000 M59 720977 8 3341.0000 p89 p82 244 N p89->p5->p6->p3->p10->p63->p95->p96->p82
