# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
896.0000 M11 562047 2 576.0000 p103 p214 290 N p103->p147->p214
905.0000 M12 545086 5 560.0000 p459 p154 290 N p459->p182->p281->p243->p132->p154
951.0000 M20 773543 2 369.0000 p383 p62 293 N p383->p433->p62
967.0000 M19 580040 3 410.0000 p388 p215 293 N p388->p58->p21->p215
975.0000 M10 863541 3 684.0000 p96 p66 288 N p96->p230->p292->p66
1480.0000 M46 636051 1 102.0000 p400 p333 298 N p400->p333
1692.0000 M22 854050 12 1052.0000 p226 p375 282 N p226->p454->p198->p297->p69->p221->p334->p327->p490->p485->p82->p178->p375
1717.0000 M8 913877 9 1484.0000 p475 p407 275 N p475->p423->p494->p337->p465->p380->p356->p339->p21->p407
1867.0000 M18 640222 4 1344.0000 p54 p55 277 N p54->p346->p48->p272->p55
1947.0000 M9 587686 18 1682.0000 p311 p148 271 N p311->p430->p341->p497->p154->p57->p217->p200->p405->p154->p69->p65->p90->p405->p262->p255->p90->p75->p148
1951.0000 M31 948641 15 1038.0000 p252 p311 282 N p252->p307->p137->p108->p211->p302->p307->p488->p114->p484->p219->p384->p61->p219->p36->p311
1990.0000 M61 874679 5 164.0000 p82 p47 297 N p82->p429->p370->p452->p430->p47
2014.0000 M39 983915 5 860.0000 p408 p6 285 N p408->p351->p254->p447->p153->p6
2056.0000 M26 546679 11 1299.0000 p262 p91 278 N p262->p410->p464->p109->p445->p61->p50->p417->p297->p3->p1->p91
2371.0000 M16 875016 25 1907.0000 p181 p399 268 N p181->p184->p198->p183->p69->p328->p141->p114->p384->p477->p173->p269->p428->p398->p64->p143->p112->p156->p309->p127->p311->p211->p367->p477->p129->p399
2603.0000 M74 925916 2 404.0000 p113 p81 293 N p113->p150->p81
2648.0000 M87 870121 2 59.0000 p237 p491 299 N p237->p398->p491
2769.0000 M45 506581 15 1424.0000 p73 p391 276 N p73->p378->p112->p3->p189->p267->p183->p311->p114->p342->p386->p126->p38->p490->p337->p391
3077.0000 M30 678625 16 2196.0000 p35 p22 263 N p35->p214->p257->p368->p113->p70->p344->p131->p290->p209->p202->p209->p32->p333->p377->p78->p22
3228.0000 M50 976458 24 1730.0000 p9 p448 271 N p9->p384->p61->p275->p156->p444->p322->p336->p219->p386->p211->p129->p95->p220->p129->p89->p373->p151->p9->p391->p50->p430->p475->p398->p448
3313.0000 M7 612010 13 3110.0000 p487 p43 248 N p487->p32->p291->p330->p294->p280->p376->p187->p244->p293->p424->p51->p459->p43
3398.0000 M13 693107 20 3019.0000 p173 p343 249 N p173->p128->p176->p319->p475->p352->p89->p157->p141->p335->p111->p51->p11->p482->p152->p22->p191->p273->p114->p127->p343
3413.0000 M21 519301 35 2804.0000 p440 p0 253 N p440->p421->p249->p494->p28->p362->p494->p84->p217->p198->p470->p28->p251->p69->p359->p167->p454->p483->p474->p283->p403->p161->p150->p252->p370->p68->p283->p26->p360->p433->p472->p17->p347->p250->p137->p0
3503.0000 M29 639593 8 2651.0000 p72 p372 255 N p72->p444->p471->p244->p376->p293->p252->p416->p372
