# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1801.0000 M32 531670 6 856.0000 p150 p154 285 N p150->p187->p209->p223->p99->p26->p154
2321.0000 M26 546679 9 1564.0000 p31 p227 273 N p31->p20->p118->p83->p190->p78->p117->p165->p224->p227
2480.0000 M23 555510 12 1811.0000 p207 p111 269 N p207->p46->p179->p100->p233->p146->p58->p239->p149->p89->p194->p202->p111
3642.0000 M111 674532 2 331.0000 p118 p120 294 N p118->p99->p120
5045.0000 M20 773543 16 4463.0000 p14 p171 225 N p14->p49->p10->p87->p95->p142->p193->p119->p185->p66->p31->p68->p51->p77->p239->p235->p171
5897.0000 M177 669688 3 633.0000 p129 p4 289 N p129->p141->p54->p4
5949.0000 M180 766653 5 589.0000 p161 p219 290 N p161->p101->p116->p126->p97->p219
6022.0000 M131 516636 5 2124.0000 p118 p120 264 N p118->p6->p163->p148->p82->p120
6119.0000 M127 975887 9 2336.0000 p61 p123 261 N p61->p93->p59->p27->p200->p184->p204->p230->p192->p123
6402.0000 M110 839088 11 3122.0000 p89 p76 247 N p89->p145->p65->p212->p58->p144->p100->p52->p55->p149->p140->p76
6790.0000 M80 626408 20 4411.0000 p30 p245 226 N p30->p29->p3->p220->p75->p204->p41->p192->p37->p241->p124->p80->p4->p225->p79->p34->p141->p63->p129->p215->p245
6942.0000 M66 762094 24 4977.0000 p137 p10 217 N p137->p189->p226->p203->p148->p14->p186->p158->p20->p120->p48->p181->p115->p106->p19->p42->p62->p162->p99->p136->p28->p128->p160->p168->p10
8241.0000 M236 844026 7 1234.0000 p201 p76 279 N p201->p236->p39->p73->p7->p226->p132->p76
8509.0000 M65 628836 18 6573.0000 p108 p152 190 N p108->p19->p218->p92->p130->p16->p67->p56->p33->p222->p166->p177->p121->p107->p106->p35->p97->p101->p152
8658.0000 M55 942166 31 7020.0000 p209 p235 183 N p209->p23->p161->p99->p228->p154->p187->p107->p213->p19->p48->p62->p219->p237->p13->p136->p174->p115->p246->p162->p168->p128->p0->p160->p83->p42->p8->p11->p148->p14->p118->p235
9127.0000 M222 741424 14 2536.0000 p206 p147 257 N p206->p40->p241->p146->p198->p95->p105->p139->p157->p199->p1->p113->p57->p125->p147
9275.0000 M153 564908 17 4740.0000 p89 p77 221 N p89->p144->p155->p206->p81->p76->p100->p139->p140->p195->p52->p87->p191->p210->p72->p17->p179->p77
9932.0000 M68 649807 24 7915.0000 p49 p168 168 N p49->p83->p227->p31->p10->p78->p51->p2->p110->p77->p104->p229->p138->p242->p178->p120->p117->p85->p0->p19->p174->p189->p135->p162->p168
10869.0000 M17 790517 33 10371.0000 p170 p91 127 N p170->p54->p202->p197->p111->p206->p109->p1->p199->p146->p194->p234->p147->p96->p45->p200->p241->p40->p195->p196->p203->p93->p53->p75->p27->p157->p125->p94->p204->p139->p114->p113->p230->p91
11055.0000 M258 703695 17 3387.0000 p165 p144 243 N p165->p212->p50->p98->p193->p211->p149->p206->p115->p190->p186->p89->p171->p7->p163->p247->p73->p144
11145.0000 M179 767122 11 5819.0000 p86 p141 203 N p86->p124->p9->p54->p220->p29->p63->p34->p21->p133->p80->p141
11148.0000 M141 518416 27 6965.0000 p39 p169 183 N p39->p183->p236->p207->p139->p201->p214->p188->p11->p5->p83->p160->p176->p78->p118->p228->p14->p56->p112->p148->p120->p174->p211->p235->p135->p117->p216->p169
11283.0000 M182 706440 21 5871.0000 p72 p155 202 N p72->p76->p247->p64->p198->p59->p87->p81->p65->p46->p190->p159->p100->p40->p203->p17->p58->p142->p163->p229->p98->p155
11504.0000 M60 686270 24 9711.0000 p92 p13 138 N p92->p222->p188->p101->p16->p56->p108->p67->p218->p213->p97->p116->p161->p219->p187->p248->p232->p88->p26->p20->p150->p172->p158->p201->p13
11614.0000 M226 990073 19 4902.0000 p188 p245 218 N p188->p152->p11->p156->p132->p46->p90->p95->p100->p191->p167->p197->p155->p12->p226->p4->p81->p22->p219->p245
11662.0000 M321 631807 10 2161.0000 p5 p26 263 N p5->p128->p13->p6->p38->p56->p35->p78->p244->p137->p26
11733.0000 M52 641881 28 10191.0000 p9 p196 130 N p9->p80->p204->p37->p245->p123->p124->p30->p241->p4->p225->p41->p215->p86->p134->p25->p167->p34->p129->p133->p159->p59->p54->p95->p22->p220->p21->p219->p196
11838.0000 M144 823113 28 7565.0000 p194 p191 173 N p194->p147->p217->p109->p199->p95->p146->p125->p157->p65->p198->p241->p105->p139->p204->p114->p234->p240->p61->p72->p57->p27->p94->p202->p203->p115->p210->p1->p191
11851.0000 M307 904189 9 2755.0000 p60 p229 254 N p60->p103->p161->p237->p120->p176->p211->p172->p13->p229
12202.0000 M335 934364 10 2290.0000 p191 p46 261 N p191->p81->p34->p219->p95->p90->p238->p108->p165->p221->p46
12288.0000 M173 664855 18 7148.0000 p22 p15 180 N p22->p167->p133->p238->p34->p79->p203->p196->p93->p53->p96->p29->p37->p91->p3->p9->p194->p75->p15
12321.0000 M162 670362 31 7509.0000 p244 p168 174 N p244->p224->p164->p18->p38->p152->p158->p154->p0->p162->p118->p243->p174->p148->p43->p163->p10->p160->p216->p161->p13->p48->p39->p60->p103->p26->p56->p182->p84->p78->p172->p168
12336.0000 M378 695064 2 1172.0000 p214 p65 280 N p214->p23->p65
12422.0000 M67 922010 33 10432.0000 p140 p215 126 N p140->p183->p96->p111->p95->p193->p31->p66->p51->p68->p85->p110->p171->p239->p175->p114->p181->p36->p202->p72->p191->p198->p210->p199->p55->p115->p61->p27->p105->p94->p109->p151->p167->p215
12658.0000 M186 648681 29 7133.0000 p157 p53 181 N p157->p105->p17->p179->p234->p195->p52->p197->p1->p146->p125->p109->p231->p94->p55->p114->p241->p204->p240->p68->p227->p57->p72->p115->p203->p61->p199->p93->p191->p53
12723.0000 M50 675185 25 11235.0000 p57 p236 112 N p57->p133->p129->p45->p76->p225->p241->p198->p12->p21->p4->p25->p22->p134->p167->p159->p100->p191->p155->p41->p226->p95->p81->p124->p219->p236
12889.0000 M79 884910 34 10535.0000 p106 p138 124 N p106->p243->p190->p118->p176->p6->p120->p137->p162->p42->p19->p83->p211->p216->p14->p117->p189->p62->p13->p0->p168->p85->p104->p84->p43->p10->p235->p97->p99->p11->p237->p136->p142->p103->p138
12951.0000 M273 589551 22 4859.0000 p211 p51 219 N p211->p193->p149->p115->p206->p190->p186->p89->p171->p7->p142->p73->p144->p119->p217->p249->p145->p86->p148->p203->p66->p68->p51
13019.0000 M410 524737 5 911.0000 p51 p175 284 N p51->p66->p86->p68->p203->p175
13149.0000 M347 679688 13 2889.0000 p99 p40 251 N p99->p104->p211->p176->p161->p148->p195->p206->p174->p98->p198->p96->p132->p40
13387.0000 M417 699076 4 1076.0000 p12 p245 282 N p12->p220->p192->p123->p245
13587.0000 M438 912017 4 629.0000 p115 p109 289 N p115->p190->p94->p202->p109
13643.0000 M223 948504 21 7021.0000 p123 p193 182 N p123->p70->p53->p93->p37->p96->p113->p27->p1->p125->p147->p194->p212->p184->p86->p215->p91->p79->p157->p210->p204->p193
13666.0000 M211 725483 19 7402.0000 p67 p174 176 N p67->p23->p208->p101->p116->p97->p172->p214->p182->p156->p126->p35->p137->p248->p78->p56->p138->p211->p45->p174
13762.0000 M351 761437 13 3388.0000 p216 p10 243 N p216->p117->p205->p176->p169->p180->p231->p135->p162->p11->p97->p13->p14->p10
13805.0000 M292 797390 17 5163.0000 p151 p247 213 N p151->p165->p239->p36->p175->p119->p69->p58->p145->p179->p183->p68->p234->p17->p31->p110->p111->p247
14337.0000 M22 854050 40 13697.0000 p207 p144 71 N p207->p46->p179->p100->p233->p146->p58->p239->p149->p89->p194->p47->p109->p199->p170->p202->p1->p217->p96->p234->p147->p27->p57->p191->p125->p157->p94->p114->p204->p227->p91->p113->p139->p64->p184->p37->p230->p215->p195->p153->p144
14521.0000 M350 783852 20 4177.0000 p7 p52 230 N p7->p238->p186->p200->p100->p140->p240->p190->p198->p98->p218->p46->p72->p174->p77->p38->p119->p145->p197->p82->p52
14527.0000 M376 969017 11 3419.0000 p93 p69 243 N p93->p72->p36->p55->p12->p76->p4->p198->p181->p184->p155->p69
