# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1605.0000 M19 580040 18 1048.0000 p95 p187 282 N p95->p103->p75->p174->p83->p19->p142->p74->p110->p240->p242->p29->p133->p131->p195->p42->p111->p47->p187
2551.0000 M17 790517 36 2053.0000 p170 p91 265 N p170->p144->p2->p115->p193->p129->p245->p128->p230->p5->p109->p194->p215->p175->p18->p172->p216->p204->p121->p100->p80->p95->p183->p55->p142->p153->p206->p62->p218->p82->p233->p114->p29->p13->p41->p165->p91
2609.0000 M59 720977 6 850.0000 p56 p85 285 N p56->p163->p131->p24->p22->p78->p85
2986.0000 M48 605393 19 1551.0000 p29 p112 274 N p29->p242->p133->p131->p195->p42->p111->p47->p187->p14->p65->p144->p181->p79->p227->p139->p176->p11->p0->p112
3033.0000 M84 745447 6 539.0000 p4 p83 291 N p4->p200->p78->p38->p105->p107->p83
3092.0000 M68 649807 29 1075.0000 p49 p168 282 N p49->p182->p76->p232->p13->p142->p165->p26->p188->p155->p218->p48->p64->p73->p101->p138->p81->p148->p32->p19->p192->p149->p15->p204->p91->p143->p191->p113->p179->p168
3212.0000 M88 607095 7 593.0000 p121 p115 290 N p121->p151->p141->p17->p239->p175->p61->p115
3358.0000 M86 667043 20 801.0000 p225 p164 286 N p225->p38->p104->p129->p30->p107->p100->p42->p110->p189->p22->p105->p132->p83->p28->p144->p156->p231->p14->p185->p164
3560.0000 M110 839088 6 280.0000 p89 p76 295 N p89->p243->p169->p142->p57->p23->p76
3745.0000 M98 727857 17 815.0000 p129 p202 286 N p129->p110->p189->p22->p105->p132->p83->p28->p144->p156->p231->p14->p185->p164->p150->p11->p179->p202
3763.0000 M32 531670 32 2818.0000 p150 p154 253 N p150->p105->p202->p122->p148->p169->p118->p213->p249->p97->p230->p247->p155->p216->p104->p82->p73->p25->p204->p98->p30->p88->p244->p114->p131->p95->p161->p215->p190->p100->p111->p194->p154
3766.0000 M112 952005 13 422.0000 p199 p88 292 N p199->p109->p203->p37->p247->p233->p3->p108->p127->p160->p12->p177->p77->p88
3793.0000 M114 785174 13 392.0000 p114 p223 293 N p114->p244->p95->p131->p215->p161->p190->p111->p100->p154->p194->p124->p58->p223
3962.0000 M106 967044 24 805.0000 p153 p122 286 N p153->p41->p238->p125->p199->p68->p75->p203->p37->p247->p233->p3->p108->p127->p160->p77->p177->p88->p95->p245->p169->p31->p114->p219->p122
3964.0000 M51 837117 20 2451.0000 p226 p16 259 N p226->p20->p148->p169->p110->p104->p116->p30->p28->p100->p164->p231->p55->p185->p106->p119->p14->p25->p150->p43->p16
4121.0000 M129 772566 4 283.0000 p120 p175 295 N p120->p236->p22->p78->p175
4222.0000 M94 655764 15 1410.0000 p48 p86 276 N p48->p101->p190->p103->p200->p81->p85->p191->p105->p179->p20->p11->p9->p202->p37->p86
4286.0000 M133 564059 10 333.0000 p154 p221 294 N p154->p124->p68->p223->p245->p111->p219->p61->p31->p12->p221
4302.0000 M72 625366 23 2158.0000 p19 p69 264 N p19->p43->p249->p18->p80->p28->p187->p119->p169->p137->p117->p39->p213->p234->p59->p89->p239->p33->p125->p233->p134->p70->p182->p69
4415.0000 M87 990325 12 1830.0000 p58 p55 269 N p58->p51->p159->p127->p89->p243->p213->p23->p33->p39->p13->p134->p55
