# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
608.0000 M19 580040 1 51.0000 p95 p187 299 N p95->p187
873.0000 M18 640222 3 350.0000 p95 p6 294 N p95->p187->p116->p6
946.0000 M27 707738 2 161.0000 p143 p137 297 N p143->p38->p137
1049.0000 M13 693107 2 670.0000 p26 p201 288 N p26->p166->p201
1317.0000 M37 737538 1 225.0000 p184 p96 296 N p184->p96
1644.0000 M21 519301 1 1035.0000 p84 p138 282 N p84->p138
2167.0000 M26 546679 2 1410.0000 p31 p227 276 N p31->p231->p227
2178.0000 M55 942166 2 540.0000 p209 p235 291 N p209->p157->p235
2486.0000 M79 884910 1 132.0000 p106 p138 297 N p106->p138
2636.0000 M15 991397 4 2205.0000 p226 p137 263 N p226->p101->p142->p237->p137
2653.0000 M64 679024 2 746.0000 p148 p154 287 N p148->p6->p154
3069.0000 M56 618175 4 1404.0000 p145 p225 276 N p145->p150->p146->p34->p225
3213.0000 M32 531670 6 2268.0000 p150 p154 262 N p150->p61->p117->p97->p126->p166->p154
3258.0000 M61 640531 6 1440.0000 p225 p123 276 N p225->p15->p178->p150->p186->p211->p123
3291.0000 M16 875016 2 2827.0000 p136 p108 252 N p136->p229->p108
3551.0000 M49 631448 3 2091.0000 p14 p139 265 N p14->p69->p66->p139
3931.0000 M46 702628 4 2553.0000 p127 p37 257 N p127->p81->p55->p207->p37
3945.0000 M45 506581 4 2600.0000 p138 p26 256 N p138->p215->p240->p190->p26
4038.0000 M117 588091 2 552.0000 p118 p71 290 N p118->p39->p71
4108.0000 M36 612761 3 3048.0000 p77 p82 249 N p77->p71->p170->p82
4136.0000 M93 592981 3 1355.0000 p74 p8 277 N p74->p241->p150->p8
4193.0000 M35 998232 2 3158.0000 p219 p83 247 N p219->p238->p83
4210.0000 M72 625366 3 2066.0000 p19 p69 265 N p19->p98->p198->p69
4593.0000 M91 920835 2 1877.0000 p196 p146 268 N p196->p168->p146
4626.0000 M134 934226 2 643.0000 p240 p49 289 N p240->p172->p49
4906.0000 M138 650867 1 808.0000 p107 p89 286 N p107->p89
4930.0000 M113 667772 1 1558.0000 p89 p129 274 N p89->p129
4972.0000 M84 745447 5 2478.0000 p4 p83 258 N p4->p10->p217->p211->p166->p83
5021.0000 M29 639593 2 4169.0000 p196 p151 230 N p196->p222->p151
5145.0000 M67 922010 2 3155.0000 p140 p215 247 N p140->p44->p215
5372.0000 M151 818481 2 898.0000 p86 p146 285 N p86->p207->p146
5735.0000 M102 825032 2 2689.0000 p88 p16 255 N p88->p150->p16
5756.0000 M59 720977 3 3997.0000 p56 p85 233 N p56->p130->p67->p85
5865.0000 M136 846612 4 1825.0000 p120 p37 269 N p120->p129->p17->p25->p37
5934.0000 M158 657732 2 1242.0000 p230 p186 279 N p230->p200->p186
6029.0000 M71 769870 2 3913.0000 p137 p243 234 N p137->p77->p243
6050.0000 M24 559729 2 5352.0000 p94 p54 210 N p94->p126->p54
6118.0000 M143 715610 2 1879.0000 p110 p42 268 N p110->p5->p42
6231.0000 M149 795095 2 1813.0000 p234 p210 269 N p234->p171->p210
6251.0000 M124 702195 3 2557.0000 p37 p183 257 N p37->p81->p142->p183
6290.0000 M177 669688 2 1026.0000 p129 p4 282 N p129->p10->p4
6367.0000 M69 580609 2 4316.0000 p112 p164 228 N p112->p210->p164
6741.0000 M14 720934 3 6336.0000 p201 p127 194 N p201->p221->p58->p127
7013.0000 M222 741424 2 422.0000 p206 p147 292 N p206->p3->p147
7039.0000 M115 753632 2 3612.0000 p239 p182 239 N p239->p16->p182
7093.0000 M207 923599 1 942.0000 p155 p130 284 N p155->p130
7117.0000 M147 592991 2 2754.0000 p117 p142 254 N p117->p205->p142
7138.0000 M43 596711 4 5857.0000 p93 p55 202 N p93->p76->p200->p132->p55
7156.0000 M110 839088 2 3876.0000 p89 p76 235 N p89->p55->p76
7168.0000 M135 610314 3 3154.0000 p138 p124 247 N p138->p136->p80->p124
7171.0000 M63 895682 1 5291.0000 p76 p127 211 N p76->p127
7426.0000 M68 649807 2 5409.0000 p49 p168 209 N p49->p230->p168
7453.0000 M128 883370 2 3645.0000 p61 p115 239 N p61->p193->p115
7485.0000 M230 918174 1 658.0000 p184 p220 289 N p184->p220
7594.0000 M176 579901 2 2360.0000 p1 p243 260 N p1->p205->p243
7597.0000 M224 647560 1 942.0000 p11 p153 284 N p11->p153
7601.0000 M90 663625 2 4918.0000 p92 p242 218 N p92->p216->p242
7684.0000 M148 698709 2 3291.0000 p180 p62 245 N p180->p164->p62
7814.0000 M111 674532 2 4503.0000 p118 p120 224 N p118->p24->p120
7817.0000 M131 516636 2 3919.0000 p118 p120 234 N p118->p24->p120
7819.0000 M116 972891 2 4362.0000 p230 p165 227 N p230->p173->p165
7914.0000 M60 686270 2 6121.0000 p92 p13 197 N p92->p216->p13
8013.0000 M242 811543 2 823.0000 p63 p247 286 N p63->p50->p247
8129.0000 M259 561706 1 430.0000 p125 p123 292 N p125->p123
8286.0000 M179 767122 3 2960.0000 p86 p141 250 N p86->p127->p10->p141
8327.0000 M95 563385 2 5485.0000 p241 p55 208 N p241->p43->p55
8397.0000 M9 587686 2 8132.0000 p126 p104 164 N p126->p152->p104
8524.0000 M223 948504 4 1902.0000 p123 p193 268 N p123->p196->p207->p126->p193
8640.0000 M213 745605 2 2314.0000 p150 p61 261 N p150->p174->p61
8643.0000 M178 890709 2 3346.0000 p43 p214 244 N p43->p74->p214
8732.0000 M202 769146 2 2727.0000 p9 p97 254 N p9->p19->p97
8813.0000 M118 787394 3 5296.0000 p8 p25 211 N p8->p240->p53->p25
8956.0000 M184 753114 2 3491.0000 p105 p39 241 N p105->p174->p39
8979.0000 M249 944555 3 1578.0000 p74 p182 273 N p74->p214->p181->p182
8996.0000 M157 589989 2 4338.0000 p2 p43 227 N p2->p34->p43
9161.0000 M163 957322 2 4319.0000 p115 p182 228 N p115->p28->p182
9195.0000 M120 832182 2 5616.0000 p217 p176 206 N p217->p124->p176
9241.0000 M168 716045 2 4254.0000 p88 p101 229 N p88->p68->p101
9331.0000 M278 600747 1 1087.0000 p178 p201 281 N p178->p201
9672.0000 M192 803181 2 3963.0000 p146 p186 233 N p146->p217->p186
9696.0000 M297 779063 2 908.0000 p92 p114 284 N p92->p50->p114
9698.0000 M62 745934 1 7851.0000 p162 p199 169 N p162->p199
9711.0000 M295 817782 2 988.0000 p149 p184 283 N p149->p51->p184
9864.0000 M172 809508 3 4757.0000 p182 p201 220 N p182->p111->p157->p201
9906.0000 M140 743196 2 5750.0000 p155 p18 204 N p155->p16->p18
9907.0000 M299 574264 2 1055.0000 p143 p210 282 N p143->p158->p210
10145.0000 M270 548566 1 2136.0000 p208 p248 264 N p208->p248
10238.0000 M38 698725 2 9117.0000 p198 p52 148 N p198->p193->p52
10327.0000 M122 656381 3 6694.0000 p8 p42 188 N p8->p231->p179->p42
10749.0000 M337 798118 1 781.0000 p232 p161 286 N p232->p161
10752.0000 M316 874593 1 1389.0000 p110 p24 276 N p110->p24
10775.0000 M279 668070 1 2506.0000 p119 p63 258 N p119->p63
10863.0000 M284 971618 2 2461.0000 p229 p117 258 N p229->p4->p117
10871.0000 M40 572441 2 9687.0000 p104 p220 138 N p104->p75->p220
10886.0000 M142 541080 2 6676.0000 p237 p224 188 N p237->p28->p224
11054.0000 M114 785174 2 7653.0000 p114 p223 172 N p114->p18->p223
11061.0000 M253 908672 2 3546.0000 p152 p50 240 N p152->p106->p50
11216.0000 M254 803308 2 3670.0000 p180 p154 238 N p180->p225->p154
11292.0000 M28 627290 2 10474.0000 p11 p210 125 N p11->p224->p210
11747.0000 M263 894847 2 3938.0000 p111 p141 234 N p111->p249->p141
11923.0000 M251 718162 2 4465.0000 p58 p156 225 N p58->p211->p156
11948.0000 M82 985912 2 9506.0000 p87 p128 141 N p87->p52->p128
11951.0000 M206 584973 3 5829.0000 p45 p234 202 N p45->p159->p11->p234
12043.0000 M273 589551 2 3951.0000 p211 p51 234 N p211->p143->p51
12145.0000 M220 882837 2 5615.0000 p21 p188 206 N p21->p100->p188
12369.0000 M103 602605 2 9296.0000 p54 p26 145 N p54->p221->p26
12384.0000 M164 525429 2 7517.0000 p124 p1 174 N p124->p52->p1
12498.0000 M248 729761 1 5123.0000 p207 p134 214 N p207->p134
12513.0000 M234 915445 2 5569.0000 p149 p17 207 N p149->p6->p17
12614.0000 M50 675185 1 11126.0000 p57 p236 114 N p57->p236
12629.0000 M266 872102 4 4739.0000 p30 p218 221 N p30->p191->p202->p27->p218
12682.0000 M323 931173 2 3118.0000 p90 p79 248 N p90->p49->p79
12897.0000 M331 930586 1 3095.0000 p90 p47 248 N p90->p47
13033.0000 M354 872250 3 2573.0000 p43 p247 257 N p43->p92->p119->p247
13149.0000 M22 854050 1 12509.0000 p207 p144 91 N p207->p144
13243.0000 M304 941440 1 4237.0000 p41 p31 229 N p41->p31
13283.0000 M226 990073 2 6571.0000 p188 p245 190 N p188->p183->p245
13357.0000 M442 946274 2 288.0000 p21 p26 295 N p21->p180->p26
13445.0000 M352 512686 2 3046.0000 p25 p137 249 N p25->p237->p137
13447.0000 M446 793337 1 255.0000 p143 p87 295 N p143->p87
13576.0000 M146 965963 2 9246.0000 p105 p215 145 N p105->p231->p215
13587.0000 M293 803939 1 4920.0000 p42 p68 218 N p42->p68
13815.0000 M348 888064 2 3529.0000 p214 p12 241 N p214->p4->p12
13819.0000 M187 827135 1 8267.0000 p24 p242 162 N p24->p242
13840.0000 M306 716831 2 4775.0000 p71 p229 220 N p71->p129->p229
13859.0000 M371 668009 3 2904.0000 p91 p7 251 N p91->p123->p133->p7
