# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
998.0000 M25 982211 4 268.0000 p52 p8 295 N p52->p69->p50->p57->p8
1076.0000 M9 587686 2 811.0000 p36 p62 286 N p36->p41->p62
1140.0000 M18 640222 3 617.0000 p11 p6 289 N p11->p99->p75->p6
1299.0000 M8 913877 3 1066.0000 p6 p9 282 N p6->p88->p80->p9
1310.0000 M23 555510 1 641.0000 p45 p78 289 N p45->p78
1528.0000 M14 720934 2 1123.0000 p9 p37 281 N p9->p58->p37
1581.0000 M7 612010 3 1378.0000 p24 p42 277 N p24->p79->p12->p42
1589.0000 M22 854050 2 949.0000 p15 p12 284 N p15->p63->p12
1748.0000 M17 790517 2 1250.0000 p53 p22 279 N p53->p64->p22
1821.0000 M27 707738 2 1036.0000 p53 p50 282 N p53->p31->p50
1894.0000 M51 797770 1 366.0000 p11 p1 293 N p11->p1
1915.0000 M12 545086 2 1570.0000 p57 p19 273 N p57->p35->p19
1938.0000 M59 720977 2 169.0000 p89 p82 297 N p89->p35->p82
2035.0000 M45 506581 2 690.0000 p69 p11 288 N p69->p0->p11
2076.0000 M26 546679 1 1319.0000 p67 p2 278 N p67->p2
2136.0000 M58 837610 1 397.0000 p52 p45 293 N p52->p45
2216.0000 M20 773543 3 1634.0000 p89 p36 272 N p89->p60->p7->p36
2345.0000 M21 519301 3 1736.0000 p45 p27 271 N p45->p22->p7->p27
2502.0000 M67 922010 2 502.0000 p26 p11 291 N p26->p57->p11
2556.0000 M60 686270 1 753.0000 p8 p10 287 N p8->p10
2752.0000 M29 639593 3 1900.0000 p85 p34 268 N p85->p58->p84->p34
2860.0000 M39 983915 3 1706.0000 p78 p23 271 N p78->p66->p87->p23
2955.0000 M10 863541 2 2664.0000 p61 p35 255 N p61->p99->p35
2955.0000 M31 948641 2 2042.0000 p38 p49 265 N p38->p28->p49
3005.0000 M41 838158 1 1789.0000 p21 p4 270 N p21->p4
3107.0000 M98 727857 1 167.0000 p21 p37 297 N p21->p37
3209.0000 M63 895682 1 1319.0000 p4 p46 278 N p4->p46
3235.0000 M81 660867 1 813.0000 p93 p12 286 N p93->p12
3404.0000 M85 821486 1 869.0000 p70 p59 285 N p70->p59
3489.0000 M71 769870 3 1363.0000 p98 p0 277 N p98->p28->p67->p0
3505.0000 M34 844772 3 2498.0000 p11 p48 258 N p11->p26->p62->p48
3612.0000 M86 667043 1 1045.0000 p0 p62 282 N p0->p62
3674.0000 M76 892737 1 1402.0000 p67 p98 276 N p67->p98
3727.0000 M68 649807 2 1700.0000 p4 p96 271 N p4->p67->p96
3753.0000 M16 875016 2 3289.0000 p73 p0 245 N p73->p24->p0
3828.0000 M125 524397 2 90.0000 p81 p56 298 N p81->p64->p56
3863.0000 M49 955987 2 2398.0000 p71 p53 260 N p71->p35->p53
3885.0000 M92 799189 2 1127.0000 p77 p38 281 N p77->p40->p38
3908.0000 M73 817551 2 1724.0000 p0 p53 271 N p0->p62->p53
3913.0000 M37 737538 2 2821.0000 p85 p30 252 N p85->p0->p30
3958.0000 M61 640531 3 2130.0000 p63 p24 264 N p63->p66->p84->p24
4038.0000 M54 953264 2 2421.0000 p73 p36 259 N p73->p84->p36
4060.0000 M46 636051 1 2682.0000 p4 p40 255 N p4->p40
4068.0000 M112 822553 3 714.0000 p46 p90 288 N p46->p66->p84->p90
4070.0000 M82 985912 2 1618.0000 p96 p65 273 N p96->p8->p65
4090.0000 M15 991397 2 3659.0000 p43 p98 239 N p43->p0->p98
