# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1549.0000 M32 531670 1 604.0000 p150 p154 289 N p150->p154
1878.0000 M23 555510 3 1209.0000 p207 p111 279 N p207->p234->p178->p111
1881.0000 M15 991397 1 1450.0000 p226 p137 275 N p226->p137
2101.0000 M26 546679 1 1344.0000 p31 p227 277 N p31->p227
2704.0000 M35 998232 1 1669.0000 p219 p83 272 N p219->p83
3398.0000 M71 769870 3 1282.0000 p137 p243 278 N p137->p189->p14->p243
3642.0000 M111 674532 2 331.0000 p118 p120 294 N p118->p99->p120
3719.0000 M22 854050 2 3079.0000 p207 p144 248 N p207->p236->p144
4056.0000 M47 940661 1 2653.0000 p245 p63 255 N p245->p63
4445.0000 M80 626408 3 2066.0000 p30 p245 265 N p30->p241->p63->p245
4561.0000 M85 821486 4 2036.0000 p73 p236 266 N p73->p221->p247->p207->p236
4648.0000 M16 875016 2 4184.0000 p136 p108 230 N p136->p106->p108
4671.0000 M83 619743 4 2202.0000 p111 p2 263 N p111->p95->p98->p119->p2
4757.0000 M87 990325 3 2172.0000 p58 p55 263 N p58->p178->p149->p55
4768.0000 M28 627290 2 3950.0000 p11 p210 234 N p11->p54->p210
4772.0000 M61 640531 2 2954.0000 p225 p123 250 N p225->p30->p123
5050.0000 M95 563385 3 2208.0000 p241 p55 263 N p241->p64->p15->p55
5070.0000 M117 588091 3 1584.0000 p118 p71 273 N p118->p99->p122->p71
5191.0000 M144 823113 3 918.0000 p194 p191 284 N p194->p195->p52->p191
5209.0000 M33 729461 3 4233.0000 p157 p240 229 N p157->p47->p193->p240
5325.0000 M131 516636 3 1427.0000 p118 p120 276 N p118->p207->p14->p120
5349.0000 M37 737538 2 4257.0000 p184 p96 229 N p184->p45->p96
5840.0000 M110 839088 2 2560.0000 p89 p76 257 N p89->p155->p76
6045.0000 M180 766653 1 685.0000 p161 p219 288 N p161->p219
6258.0000 M123 660979 4 2593.0000 p168 p73 256 N p168->p214->p139->p236->p73
6334.0000 M11 562047 6 6014.0000 p155 p229 199 N p155->p149->p65->p236->p183->p142->p229
6412.0000 M108 530235 2 3191.0000 p223 p160 246 N p223->p0->p160
